gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
COMMD9	NM_001101653,NM_001307932,NM_001307937,NM_014186	144.00	119.00	121.00	134.00	168.00	179.00	295.00	350.00	291.00	284.00	338.00	360.00
COMP	NM_000095	1.00	1.00	3.00	1.00	1.00	3.00	19.00	39.00	19.00	6.00	4.00	10.00
COMT	NM_000754,NM_001135161,NM_001135162,NM_007310	74.00	92.00	69.00	34.00	33.00	38.00	518.00	607.00	573.00	424.00	477.00	521.00
COMTD1	NM_144589	35.00	28.00	22.00	86.00	74.00	83.00	103.00	169.00	117.00	124.00	139.00	178.00
COPA	NM_001098398,NM_004371	742.00	729.00	796.00	803.00	722.00	723.00	3830.00	3991.00	3536.00	3906.00	3961.00	4165.00
COPB1	NM_001144061,NM_001144062,NM_016451	361.00	363.00	405.00	385.00	393.00	356.00	1966.00	1919.00	1694.00	2102.00	2026.00	1941.00
COPB2	NM_004766,NR_023350	561.00	570.00	541.00	516.00	570.00	483.00	2182.00	2144.00	1838.00	2419.00	2158.00	2101.00
COPE	NM_007263,NM_199442,NM_199444	390.00	418.00	406.00	560.00	549.00	630.00	2229.00	2659.00	2166.00	1813.00	2002.00	2125.00
COPG1	NM_016128	626.00	608.00	580.00	600.00	591.00	693.00	2460.00	2779.00	2239.00	2192.00	2435.00	2461.00
COPG2	NM_001290033,NM_012133	109.00	128.00	95.00	130.00	141.00	127.00	2056.00	1999.00	1861.00	1919.00	1869.00	1879.00
COPG2IT1	NR_024086	3.00	3.00	3.00	0.00	0.00	0.00	53.00	33.00	43.00	42.00	45.00	39.00
COPRS	NM_018405	75.00	64.00	83.00	78.00	75.00	87.00	367.00	451.00	368.00	353.00	470.00	435.00
COPS2	NM_001143887,NM_004236	312.00	312.00	318.00	396.00	373.00	370.00	1134.00	985.00	916.00	1441.00	1195.00	1239.00
COPS3	NM_001199125,NM_003653	173.00	182.00	175.00	321.00	309.00	296.00	619.00	687.00	661.00	844.00	754.00	785.00
COPS4	NM_001258006,NM_016129	85.00	64.00	81.00	126.00	135.00	119.00	484.00	515.00	371.00	464.00	455.00	458.00
COPS5	NM_006837	80.00	83.00	97.00	143.00	139.00	138.00	414.00	458.00	388.00	477.00	404.00	475.00
COPS6	NM_006833	327.00	341.00	289.00	316.00	290.00	323.00	1818.00	1919.00	1676.00	1783.00	1745.00	1762.00
COPS7A	NM_001164093,NM_001164094,NM_001164095,NM_016319	103.00	95.00	80.00	123.00	99.00	118.00	619.00	635.00	694.00	530.00	504.00	590.00
COPS7B	NM_001282949,NM_001282950,NM_001282951,NM_001282952,NM_001308381,NM_022730	103.00	114.00	119.00	197.00	154.00	204.00	1152.00	1239.00	1220.00	1098.00	1067.00	1196.00
COPS8	NM_006710,NM_198189	122.00	133.00	157.00	162.00	125.00	152.00	1020.00	896.00	924.00	908.00	816.00	912.00
COPZ1	NM_001271734,NM_001271735,NM_001271736,NM_016057,NR_073424	383.00	365.00	297.00	497.00	463.00	518.00	2001.00	1803.00	1923.00	1788.00	1788.00	1906.00
COPZ2	NM_016429	17.00	18.00	11.00	4.00	1.00	2.00	3.00	2.00	0.00	0.00	0.00	2.00
COQ10A	NM_001099337,NM_144576	7.00	4.00	13.00	19.00	20.00	32.00	224.00	257.00	249.00	243.00	234.00	252.00
COQ10B	NM_025147	32.00	26.00	33.00	41.00	55.00	37.00	179.00	160.00	172.00	177.00	147.00	167.00
COQ2	NM_015697	21.00	32.00	38.00	86.00	87.00	73.00	295.00	264.00	294.00	305.00	303.00	314.00
COQ3	NM_017421	12.00	15.00	4.00	27.00	24.00	19.00	153.00	159.00	157.00	162.00	160.00	159.00
COQ4	NM_001305942,NM_016035	70.00	73.00	67.00	187.00	147.00	200.00	411.00	473.00	409.00	316.00	330.00	362.00
COQ5	NM_032314	41.00	39.00	39.00	79.00	74.00	60.00	531.00	534.00	493.00	552.00	485.00	549.00
COQ6	NM_182476,NM_182480	15.00	7.00	8.00	14.00	22.00	23.00	89.00	114.00	85.00	89.00	101.00	125.00
COQ7	NM_001190983,NM_016138	45.00	34.00	48.00	73.00	89.00	75.00	168.00	190.00	139.00	168.00	132.00	170.00
COQ9	NM_020312	69.00	52.00	61.00	102.00	97.00	125.00	332.00	412.00	334.00	298.00	310.00	355.00
CORIN	NM_001278585,NM_001278586,NM_006587	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00
CORO1A	NM_001193333,NM_007074	18.00	19.00	12.00	45.00	34.00	45.00	90.00	125.00	82.00	112.00	165.00	149.00
CORO1B	NM_001018070,NM_020441	210.00	216.00	222.00	227.00	230.00	269.00	1198.00	1431.00	1148.00	1025.00	1283.00	1195.00
CORO1C	NM_001105237,NM_001276471,NM_014325	493.00	487.00	537.00	1009.00	1102.00	1137.00	2550.00	2519.00	2265.00	2777.00	2670.00	2623.00
CORO2A	NM_003389,NM_052820	109.00	118.00	107.00	114.00	112.00	104.00	1391.00	1367.00	1358.00	1379.00	1482.00	1414.00
CORO2B	NM_001190456,NM_001190457,NM_006091	8.00	7.00	9.00	3.00	6.00	5.00	172.00	227.00	208.00	143.00	144.00	150.00
CORO6	NM_032854	6.00	5.00	1.00	3.00	9.00	8.00	84.00	81.00	164.00	46.00	67.00	75.00
CORO7	NM_001201472_1,NM_001201473,NM_024535	94.00	112.00	98.00	166.00	128.00	159.00	910.00	1030.00	972.00	829.00	914.00	994.00
CORO7-PAM16	NM_001201479	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
