gene_id	transcript_id(s)	Naive_EZH2i_R1	Naive_EZH2i_R2	Naive_EZH2i_R3	Naive_R1	Naive_R2	Naive_R3	Primed_EZH2i_R1	Primed_EZH2i_R2	Primed_EZH2i_R3	Primed_R1	Primed_R2	Primed_R3
MUC7	NM_001145006,NM_001145007,NM_152291	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MUCL1	NM_058173	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MUL1	NM_024544	116.00	87.00	95.00	205.00	166.00	164.00	386.00	434.00	445.00	331.00	342.00	303.00
MUM1	NM_032853,NR_024247	82.00	96.00	85.00	170.00	175.00	230.00	636.00	804.00	745.00	626.00	737.00	780.00
MUM1L1	NM_001171020,NM_152423	2.00	2.00	0.00	0.00	0.00	0.00	25.00	21.00	20.00	47.00	22.00	14.00
MURC	NM_001018116	2.00	0.00	1.00	1.00	5.00	3.00	107.00	113.00	80.00	107.00	111.00	107.00
MUS81	NM_025128	83.00	70.00	59.00	114.00	109.00	118.00	302.00	327.00	378.00	303.00	369.00	386.00
MUSK	NM_001166280,NM_001166281,NM_005592	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
MUSTN1	NM_205853	5.00	5.35	4.10	9.00	3.00	2.00	45.13	83.00	73.00	43.00	38.00	53.65
MUT	NM_000255	32.00	36.00	44.00	36.00	42.00	31.00	352.00	317.00	292.00	391.00	432.00	405.00
MUTYH	NM_001048171,NM_001048172,NM_001048173,NM_001048174,NM_001128425,NM_001293190,NM_001293191,NM_001293192,NM_001293195,NM_001293196,NM_012222	18.00	35.00	30.00	68.00	61.00	63.00	748.00	935.00	807.00	825.00	883.00	939.00
MVB12A	NM_001304547,NM_138401	76.00	80.00	59.00	53.00	50.00	58.00	448.77	579.00	500.88	415.02	465.67	576.23
MVB12B	NM_001011703,NM_033446	40.00	27.00	32.00	49.00	47.00	46.00	384.00	492.00	426.00	318.00	378.00	377.00
MVD	NM_002461	164.00	200.00	160.00	222.00	199.00	284.00	640.00	806.00	621.00	605.00	561.00	770.00
MVK	NM_000431,NM_001114185,NM_001301182	110.00	62.00	90.00	94.00	91.00	137.00	121.00	157.00	135.00	107.00	113.00	108.00
MVP	NM_001293204,NM_001293205,NM_005115,NM_017458	184.00	192.00	207.00	90.00	94.00	145.00	267.00	268.00	256.00	238.00	275.00	253.00
MX1	NM_001144925,NM_001178046,NM_001282920,NM_002462	42.00	53.00	38.00	428.00	357.00	360.00	64.00	84.00	64.00	50.00	70.00	35.00
MX2	NM_002463	0.00	0.00	0.00	1.00	4.00	1.00	89.00	109.00	98.00	104.00	100.00	105.00
MXD1	NM_001202513,NM_001202514,NM_002357	52.00	33.00	42.00	18.00	17.00	17.00	73.00	52.00	49.00	39.00	62.00	57.00
MXD3	NM_001142935,NM_031300	15.00	13.00	10.00	12.00	14.00	10.00	98.00	130.00	120.00	86.00	84.00	104.00
MXD4	NM_006454	157.00	147.00	123.00	91.00	65.00	108.00	823.00	980.00	891.00	599.00	652.00	784.00
MXI1	NM_001008541,NM_005962,NM_130439	12.00	18.00	8.00	9.00	16.00	13.00	619.00	597.00	531.00	357.00	390.00	356.00
MXRA5	NM_015419	140.00	148.00	141.00	511.00	497.00	395.00	600.00	553.00	480.00	254.00	313.00	285.00
MXRA7	NM_001008528,NM_001008529,NM_198530,NR_130926,NR_130927,NR_130928	116.00	151.00	154.00	86.00	104.00	86.00	914.00	933.00	877.00	825.00	751.00	869.00
MXRA8	NM_001282582,NM_001282583,NM_001282584,NM_001282585,NM_032348	338.00	327.00	270.00	128.00	117.00	130.00	366.00	469.00	461.00	279.00	359.00	413.00
MYADM	NM_001020818,NM_001020819,NM_001020820,NM_001020821,NM_001290188,NM_001290189,NM_001290190,NM_001290191,NM_001290192,NM_001290193,NM_001290194,NM_138373	522.00	447.00	411.00	912.00	782.00	1032.00	1969.00	2104.00	2008.00	1602.00	1640.00	1761.00
MYADML	NR_003143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYADML2	NM_001145113	0.00	0.00	0.00	0.00	0.00	0.00	3.00	7.00	10.00	4.00	7.00	5.00
MYB	NM_001130172,NM_001130173,NM_001161656,NM_001161657,NM_001161658,NM_001161659,NM_001161660,NM_005375	3.00	2.00	1.00	9.00	7.00	6.00	175.00	214.00	168.00	177.00	182.00	145.00
MYBBP1A	NM_001105538,NM_014520	327.00	312.00	346.00	663.00	636.00	795.00	1841.00	2289.00	1898.00	1919.00	2116.00	2183.00
MYBL1	NM_001080416,NM_001144755,NM_001294282	7.00	10.00	6.00	9.00	11.00	19.00	106.00	105.00	99.00	118.00	100.00	106.00
MYBL2	NM_001278610,NM_002466	1380.00	1479.00	1467.00	4593.00	4578.00	5202.00	4155.00	5022.00	4335.00	4672.00	4748.00	5444.00
MYBPC1	NM_001254718,NM_001254719,NM_001254720,NM_001254721,NM_001254722,NM_001254723,NM_002465,NM_206819,NM_206820,NM_206821	0.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00
MYBPC2	NM_004533	5.00	0.00	0.00	0.00	0.00	0.00	117.00	116.00	98.00	149.00	122.00	161.00
MYBPC3	NM_000256	0.00	0.00	0.00	0.00	0.00	2.00	4.00	0.00	3.00	5.00	3.00	3.00
MYBPH	NM_004997	12.00	8.00	13.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
MYBPHL	NM_001010985,NM_001265613	0.00	0.00	0.00	0.00	2.00	0.00	0.00	1.00	1.00	1.00	0.00	0.00
MYC	NM_002467	234.00	215.00	212.00	213.00	173.00	189.00	1300.00	1254.00	1098.00	1351.00	1474.00	1554.00
MYCBP	NM_012333,NR_037632	78.00	68.00	55.70	110.00	114.00	80.00	425.00	415.00	412.00	406.79	369.00	382.00
MYCBP2	NM_015057	109.00	112.00	106.00	155.00	132.00	125.00	763.00	722.00	589.00	741.00	786.00	691.00
MYCBP2-AS1	NR_046716	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYCBPAP	NM_032133	1.00	0.00	0.00	0.00	0.00	0.00	44.00	44.00	51.00	27.00	40.00	57.00
MYCL	NM_001033081,NM_001033082,NM_005376	34.00	35.00	26.00	77.00	94.00	121.00	1046.00	1185.00	1108.00	920.00	992.00	1070.00
MYCN	NM_001293228,NM_001293231,NM_001293233,NM_005378	189.00	200.00	193.00	521.00	495.00	525.00	2033.00	2250.00	1959.00	1769.00	1829.00	2102.00
MYCNOS	NR_026766,NR_110230	0.00	0.00	1.00	1.00	2.00	0.00	16.00	23.00	18.00	21.00	10.00	17.00
MYCNUT	NR_125783	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYCT1	NM_025107	14.00	6.00	3.00	9.00	8.00	9.00	19.00	12.00	8.00	10.00	6.00	8.00
MYD88	NM_001172566,NM_001172567,NM_001172568,NM_001172569,NM_002468	89.00	105.00	103.00	115.00	125.00	144.00	371.00	383.00	490.00	383.00	390.00	452.00
MYDGF	NM_019107	155.00	146.00	156.00	159.00	153.00	173.00	365.00	470.00	333.00	305.00	306.00	349.00
MYEF2	NM_001301210,NM_016132,NR_125408	6.00	10.00	7.00	2.00	7.00	1.00	1326.00	1198.00	1285.00	1241.00	1164.00	1147.00
MYEOV	NM_001293291,NM_001293294,NM_001293296,NM_001300923,NM_001300924,NM_138768	0.00	0.00	0.00	0.00	0.00	0.00	16.00	16.00	11.00	8.00	6.00	14.00
MYEOV2	NM_001163424,NM_138336	47.00	35.00	35.00	66.00	63.00	65.00	169.00	197.00	177.00	151.00	173.00	184.00
MYF5	NM_005593	0.00	0.00	0.00	2.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
MYF6	NM_002469	0.00	0.00	0.00	0.00	0.00	0.00	6.00	3.00	7.00	4.00	2.00	2.00
MYH1	NM_005963	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
MYH10	NM_001256012,NM_001256095,NM_005964	791.00	761.00	839.00	1239.00	1154.00	1109.00	7549.00	8163.00	6406.00	9256.00	9789.00	8836.00
MYH11	NM_001040113_1,NM_001040114,NM_002474_1,NM_022844	8.00	4.01	6.00	4.00	6.00	6.00	28.00	21.00	17.00	17.00	29.00	40.00
MYH13	NM_003802	0.00	1.00	1.00	1.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
MYH14	NM_001077186,NM_001145809,NM_024729	19.00	16.00	17.00	28.00	27.00	27.00	875.00	1089.00	838.00	791.00	998.00	932.00
MYH15	NM_014981	0.00	0.00	0.00	1.00	2.00	0.00	1.00	0.00	0.00	2.00	0.00	1.00
MYH16	NR_002147	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
MYH2	NM_001100112,NM_017534	0.00	0.00	0.00	0.00	1.00	0.00	36.00	31.00	25.00	56.00	39.00	50.00
MYH3	NM_002470	2.00	6.00	1.00	6.00	1.00	2.00	18.00	37.00	29.00	28.00	27.00	25.00
MYH4	NM_017533	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYH6	NM_002471	0.00	0.00	0.00	0.00	0.00	0.00	15.94	10.77	19.90	9.00	16.00	19.87
MYH7	NM_000257	0.00	0.00	0.00	0.00	0.00	0.00	1.06	3.23	1.10	0.00	2.00	3.13
MYH7B	NM_020884	5.00	10.00	10.00	37.00	30.00	37.00	7.00	8.00	7.00	6.00	12.00	8.00
MYH8	NM_002472	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYH9	NM_002473	1957.00	1979.99	2064.00	2809.00	2847.00	3028.00	10024.00	11027.00	9297.00	10829.00	12608.00	11455.00
MYHAS	NR_125367	2.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
MYL1	NM_079420,NM_079422	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYL10	NM_138403	0.00	0.00	1.00	0.00	0.00	0.00	5.00	4.00	0.00	4.00	2.00	2.00
MYL12A	NM_001303047,NM_001303048,NM_001303049,NM_006471	396.00	389.00	438.00	547.00	492.00	468.00	2447.00	2359.69	2310.00	2456.00	2222.00	2368.00
MYL12B	NM_001144944,NM_001144945,NM_033546	487.00	506.00	520.00	584.00	513.00	493.00	2080.00	2106.31	2057.00	2158.00	2160.00	2201.00
MYL2	NM_000432	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
MYL3	NM_000258	1.00	2.00	3.00	1.00	1.00	3.00	10.00	4.00	8.00	14.00	4.00	8.00
MYL4	NM_001002841,NM_002476	62.00	65.00	60.00	28.00	27.00	20.00	6.00	8.00	10.00	5.00	11.00	7.00
MYL5	NM_002477	10.00	3.00	7.00	11.00	12.00	11.00	20.00	28.00	18.00	17.00	15.00	16.00
MYL6	NM_021019,NM_079423	1296.00	1298.00	1218.00	1724.00	1682.00	1595.00	4952.00	5328.00	4833.00	5482.00	5723.00	5189.00
MYL6B	NM_001199629,NM_002475	55.00	63.00	62.00	60.00	66.00	73.00	1308.00	1524.00	1322.00	1198.00	1304.00	1326.00
MYL7	NM_021223	11.00	3.00	2.00	2.00	1.00	3.00	24.00	10.00	15.00	23.00	10.00	14.00
MYL9	NM_006097,NM_181526	273.00	309.00	339.00	188.00	191.00	197.00	3257.00	3633.00	3249.00	3637.00	3759.00	4055.00
MYLIP	NM_013262	145.00	167.00	183.00	84.00	54.00	51.00	544.00	519.00	471.00	441.00	459.00	419.00
MYLK	NM_053025,NM_053026,NM_053027,NM_053028,NM_053031,NM_053032	21.00	12.00	10.00	1.00	6.00	7.00	538.00	563.00	500.00	520.00	576.00	553.00
MYLK-AS1	NR_038266,NR_121654	0.00	1.00	0.00	0.00	0.00	0.00	5.00	6.00	5.00	10.00	4.00	5.00
MYLK-AS2	NR_046629	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYLK2	NM_033118	0.00	4.00	1.00	4.00	3.00	1.00	11.00	9.00	16.00	8.00	1.00	4.00
MYLK3	NM_001308301,NM_182493	33.00	33.00	34.00	15.00	23.00	27.00	23.00	18.00	7.00	17.00	18.00	15.00
MYLK4	NM_001012418	0.00	1.00	1.00	0.00	1.00	2.00	4.00	10.00	8.00	1.00	6.00	3.00
MYLPF	NM_013292	0.00	1.00	0.00	18.00	6.00	10.00	4.00	15.00	10.00	13.00	11.00	10.00
MYNN	NM_001185118,NM_001185119,NM_018657,NR_033702,NR_033703	30.00	31.00	29.00	47.00	55.00	62.00	215.00	273.00	257.00	337.00	303.00	289.00
MYO10	NM_012334	236.00	226.00	241.00	287.00	295.00	283.00	5161.00	5729.00	4395.00	5932.00	5981.00	5738.00
MYO15A	NM_016239	0.00	2.00	0.00	0.00	1.00	3.00	56.00	58.00	84.00	49.00	53.00	62.00
MYO15B	NM_001309242	11.00	9.00	9.00	3.00	4.00	5.00	531.00	698.00	807.00	424.00	505.00	535.00
MYO16	NM_001198950,NM_015011	0.00	1.00	0.00	0.00	1.00	0.00	5.00	3.00	4.00	1.00	2.00	2.00
MYO16-AS1	NR_047700	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYO18A	NM_078471,NM_203318	82.73	51.28	78.09	80.35	73.41	84.59	857.82	1033.96	833.36	903.07	1139.11	1038.70
MYO18B	NM_032608	18.00	13.00	10.00	8.00	10.00	5.00	33.00	18.00	22.00	19.00	19.00	22.00
MYO19	NM_001033580,NM_001163735,NM_025109	163.00	170.00	205.00	357.00	326.00	370.00	1242.00	1488.00	1608.00	1386.00	1588.00	1689.00
MYO1A	NM_001256041,NM_005379	0.00	0.00	0.00	2.00	1.00	0.00	9.00	2.00	4.00	7.00	8.00	5.00
MYO1B	NM_001130158,NM_001161819,NM_012223	245.00	264.00	267.00	357.00	366.00	327.00	1303.00	1250.00	1136.00	1310.00	1092.00	1142.00
MYO1C	NM_001080779,NM_001080950,NM_033375	262.00	288.00	255.00	373.00	336.00	428.00	2299.00	2606.00	2491.00	2615.00	2925.00	3064.00
MYO1D	NM_001303279,NM_001303280,NM_015194	137.00	127.00	125.00	87.00	85.00	69.00	573.00	688.00	597.00	570.00	567.00	594.00
MYO1E	NM_004998	119.00	140.00	112.00	333.00	324.00	274.00	1896.00	1986.00	1731.00	2206.00	2183.00	2220.00
MYO1F	NM_012335	0.00	0.00	1.00	1.00	0.00	2.00	35.00	38.00	28.00	24.00	23.00	32.00
MYO1G	NM_033054	1.00	0.00	0.00	20.00	18.00	32.00	0.00	1.00	1.00	0.00	2.00	1.00
MYO1H	NM_001101421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	2.00	4.00	0.00
MYO3A	NM_017433	1.00	2.00	6.00	2.00	6.00	1.00	62.00	58.00	51.00	69.00	77.00	32.00
MYO3B	NM_001083615,NM_138995,NR_045682,NR_045683,NR_045684	0.00	1.00	1.00	1.00	1.00	8.00	121.00	130.00	125.00	40.00	37.00	36.00
MYO5A	NM_000259,NM_001142495	128.00	151.00	152.00	533.00	539.00	512.00	1138.00	1098.00	974.00	971.00	1078.00	959.00
MYO5B	NM_001080467	119.00	132.00	110.00	85.00	97.00	104.00	772.00	868.00	748.00	377.00	354.00	391.00
MYO5C	NM_018728	18.00	18.00	20.00	34.00	45.00	56.00	389.00	417.00	413.00	395.00	415.00	403.00
MYO6	NM_001300899,NM_004999	85.00	92.00	102.00	113.00	124.00	106.00	1894.00	1830.00	1511.00	1775.00	1626.00	1535.00
MYO7A	NM_000260,NM_001127179,NM_001127180	14.00	10.00	11.00	8.00	8.00	5.00	97.00	122.00	136.00	80.00	102.00	117.00
MYO7B	NM_001080527	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	2.00	3.00	0.00	2.00
MYO9A	NM_006901	38.00	53.00	60.00	120.00	96.00	111.00	342.00	294.00	248.00	274.00	302.00	291.00
MYO9B	NM_001130065,NM_004145	303.00	260.00	304.00	290.00	298.00	343.00	1813.00	2110.00	1755.00	1685.00	2070.00	1778.00
MYOC	NM_000261	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
MYOCD	NM_001146312,NM_153604	18.00	6.00	7.00	3.00	2.00	3.00	21.00	21.00	17.00	17.00	20.00	13.00
MYOD1	NM_002478	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYOF	NM_013451,NM_133337	446.00	345.00	427.00	132.00	146.00	112.00	157.00	167.00	163.00	150.00	158.00	176.00
MYOG	NM_002479	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYOM1	NM_003803,NM_019856	1.00	1.00	0.00	6.00	8.00	11.00	21.00	21.00	22.00	25.00	25.00	26.00
MYOM2	NM_003970	0.00	2.00	0.00	4.00	5.00	0.00	9.00	8.00	9.00	12.00	8.00	14.00
MYOM3	NM_152372	1.00	0.00	1.00	0.00	1.00	0.00	5.00	12.00	20.00	25.00	17.00	19.00
MYOT	NM_001135940,NM_001300911,NM_006790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYOZ1	NM_021245	1.00	1.00	5.00	3.00	2.00	2.00	156.00	139.00	181.00	158.00	167.00	134.00
MYOZ2	NM_016599	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYOZ3	NM_001122853,NM_133371	5.00	5.00	1.00	9.00	9.00	8.00	115.00	113.00	119.00	137.00	164.00	136.00
MYPN	NM_001256267,NM_001256268,NM_032578,NR_045662,NR_045663	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00
MYPOP	NM_001012643	7.00	13.00	6.00	12.00	18.00	21.00	195.00	206.00	198.00	146.00	177.00	189.00
MYRF	NM_001127392,NM_013279	841.00	673.00	686.00	173.00	146.00	188.00	467.00	544.00	523.00	409.00	477.00	480.00
MYRFL	NM_182530	0.00	1.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	3.00	2.00	7.00
MYRIP	NM_001284423,NM_001284424,NM_001284425,NM_001284426,NM_015460,NR_104316	0.00	0.00	0.00	0.00	0.00	4.00	20.00	36.00	22.00	29.00	19.00	30.00
MYSM1	NM_001085487	92.00	82.00	97.00	381.00	332.00	277.00	1053.00	947.00	1008.00	1095.00	1026.00	986.00
MYT1	NM_004535	0.00	0.00	0.00	0.00	0.00	6.00	131.00	161.00	142.00	103.00	133.00	138.00
MYT1L	NM_001303052,NM_015025	0.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00
MYT1L-AS1	NR_024468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MYZAP	NM_001018100,NM_152451	5.00	0.00	2.00	2.00	3.00	4.00	48.94	52.00	34.08	26.98	35.09	29.00
MZB1	NM_016459	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	3.00	3.00	1.00	2.00
MZF1	NM_001267033,NM_003422,NM_198055	20.00	32.00	23.00	34.00	25.00	37.00	351.00	494.00	437.00	258.00	312.00	369.00
MZF1-AS1	NR_027334	0.00	0.00	1.00	0.00	0.00	0.00	4.00	10.00	11.00	4.00	5.00	8.00
MZT1	NM_001071775	25.00	29.00	25.00	51.00	51.00	57.00	367.00	291.00	251.00	431.00	334.00	313.00
MZT2A	NM_001085365	41.46	47.71	54.34	77.46	78.59	66.36	641.11	924.93	649.89	652.24	773.36	862.04
MZT2B	NM_025029	105.54	96.29	100.66	74.54	89.41	130.64	740.89	1142.07	724.11	808.76	869.64	1017.96
N4BP1	NM_153029	90.00	85.00	64.00	154.00	157.00	158.00	1115.00	1099.00	1106.00	1207.00	1157.00	1183.00
N4BP2	NM_018177	131.00	109.00	145.00	350.00	338.00	297.00	727.00	628.00	478.00	1023.00	936.00	805.00
N4BP2L1	NM_001079691,NM_001286459,NM_001286460,NM_001286461,NM_052818	0.00	1.00	0.00	0.00	1.00	1.00	71.00	73.00	49.00	55.00	43.00	43.00
N4BP2L2	NM_001278432,NM_014887,NM_033111	32.00	49.00	40.00	41.00	58.00	53.00	401.00	408.00	381.00	522.00	454.00	425.00
N4BP2L2-IT2	NR_026928	0.00	0.00	0.00	4.00	0.00	1.00	33.00	18.00	35.00	33.00	20.00	26.00
N4BP3	NM_015111	40.00	40.00	40.00	216.00	228.00	240.00	1136.00	1290.00	1096.00	1178.00	1346.00	1308.00
N6AMT1	NM_013240,NM_182749,NR_047510	5.00	9.00	12.00	26.00	21.00	12.00	84.00	81.00	87.00	89.00	73.00	61.00
N6AMT2	NM_174928	10.00	8.00	9.00	0.00	3.00	0.00	53.00	48.00	57.00	51.00	31.00	28.00
NAA10	NM_001256119,NM_001256120,NM_003491	144.00	147.00	136.00	224.00	221.00	243.00	544.00	652.00	536.00	562.00	594.00	711.00
NAA11	NM_032693	10.00	16.00	12.00	21.00	22.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00
NAA15	NM_057175	304.00	272.00	337.00	613.00	548.00	491.00	1808.00	1620.00	1478.00	2324.00	1913.00	1842.00
NAA16	NM_001110798,NM_018527,NM_024561	29.00	36.00	35.00	61.00	97.00	80.00	459.00	415.00	440.00	543.00	548.00	478.00
NAA20	NM_016100,NM_181527,NM_181528	44.00	54.00	74.00	55.00	72.00	83.00	198.00	210.00	202.00	231.00	165.00	209.00
NAA25	NM_024953	70.00	92.00	100.00	214.00	239.00	185.00	998.00	918.00	760.00	1205.00	1077.00	976.00
NAA30	NM_001011713	81.00	77.00	73.00	121.00	124.00	101.00	411.00	384.00	347.00	432.00	385.00	371.00
NAA35	NM_024635	61.00	84.00	84.00	127.00	107.00	104.00	450.00	390.00	419.00	412.00	405.00	432.00
NAA38	NM_032356	23.00	16.00	32.00	38.00	31.00	61.00	165.00	170.00	154.00	127.00	129.00	148.00
NAA40	NM_001300800,NM_024771	60.00	47.00	68.00	54.00	65.00	50.00	494.00	564.00	613.00	470.00	529.00	492.00
NAA50	NM_001308445,NM_025146	427.00	403.00	394.00	890.00	825.00	812.00	2545.00	2411.00	2027.00	2764.00	2499.00	2381.00
NAA60	NM_001083600,NM_001083601,NM_024845	146.00	157.00	140.00	180.00	192.00	211.00	837.00	996.00	895.00	713.00	742.00	843.00
NAAA	NM_001042402,NM_014435	3.00	5.00	2.00	13.00	7.00	10.00	35.00	34.00	28.00	26.00	22.00	26.00
NAALAD2	NM_001300930,NM_005467	101.00	96.00	141.00	43.00	38.00	35.00	97.00	92.00	89.00	76.00	87.00	72.00
NAALADL1	NM_005468	2.00	0.00	0.00	1.00	0.00	0.00	53.00	78.00	85.00	56.00	54.00	76.00
NAALADL2	NM_207015	2.00	1.00	1.00	0.00	0.00	0.00	16.00	12.00	13.00	9.00	21.00	15.00
NAALADL2-AS1	NR_046714	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NAALADL2-AS2	NR_046713	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NAALADL2-AS3	NR_046390	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NAB1	NM_005966	36.00	26.00	36.00	11.00	11.00	9.00	519.00	485.00	383.00	473.00	461.00	429.00
NAB2	NM_005967	31.00	19.00	29.00	27.00	19.00	20.00	591.00	738.00	685.00	846.00	834.00	949.00
NABP1	NM_001031716,NM_001254736,NR_045622,NR_045623	41.00	38.00	59.00	36.00	35.00	32.00	21.00	19.00	14.00	19.00	23.00	20.00
NABP2	NM_024068	18.00	23.00	13.00	31.00	35.00	43.00	463.00	536.00	566.00	529.00	590.00	587.00
NACA	NM_001113202,NM_001113203,NR_045277	1030.00	1164.00	1038.00	1634.00	1611.00	1620.00	8063.00	9260.00	7219.00	9245.00	8396.00	8782.00
NACA2	NM_199290	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
NACAD	NM_001146334	28.00	19.00	20.00	38.00	41.00	49.00	463.00	619.00	501.00	484.00	623.00	571.00
NACAP1	NR_002182	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	1.00
NACC1	NM_052876	672.00	578.00	564.00	1042.00	996.00	1301.00	4355.00	4920.00	4346.00	3614.00	4150.00	4172.00
NACC2	NM_144653	69.00	58.00	65.00	95.00	109.00	134.00	476.00	575.00	493.00	437.00	510.00	465.00
NADK	NM_001198993,NM_001198994,NM_001198995,NM_023018	161.00	174.00	152.00	369.00	325.00	341.00	1403.00	1513.00	1320.00	1372.00	1531.00	1543.00
NADK2	NM_001085411,NM_001287340,NM_001287341,NM_153013	22.00	26.00	49.00	17.00	23.00	18.00	354.00	347.00	290.00	374.00	336.00	291.00
NADSYN1	NM_018161	52.00	58.00	71.00	88.00	74.00	98.00	411.00	484.00	430.00	407.00	442.00	475.00
NAE1	NM_001018159,NM_001018160,NM_001286500,NM_003905	122.00	135.00	122.00	237.00	215.00	225.00	1468.00	1538.00	1389.00	1948.00	1599.00	1765.00
NAF1	NM_001128931,NM_138386	26.00	25.00	32.00	77.00	65.00	68.00	298.00	299.00	229.00	307.00	256.00	293.00
NAGA	NM_000262	123.00	150.00	125.00	183.00	176.00	218.00	718.00	739.00	716.00	622.00	667.00	652.00
NAGK	NM_017567	119.00	121.00	79.00	143.00	148.00	117.00	255.00	290.00	304.00	219.00	242.00	253.00
NAGLU	NM_000263	70.00	78.00	59.00	77.00	64.00	88.00	674.00	737.00	728.00	539.00	611.00	624.00
NAGPA	NM_016256	43.00	38.00	36.00	69.00	73.00	81.00	88.00	102.00	77.00	75.00	93.00	100.00
NAGPA-AS1	NR_038913	0.00	0.00	0.00	0.00	0.00	0.00	3.00	3.00	9.00	1.00	5.00	2.00
NAGS	NM_153006	1.00	1.00	0.00	0.00	1.00	4.00	70.00	96.00	77.00	81.00	74.00	99.00
NAIF1	NM_197956	17.00	11.00	10.00	26.00	26.00	31.00	191.00	192.00	199.00	201.00	246.00	189.00
NAIP	NM_004536_3,NM_004536_4,NM_022892_3,NM_022892_4	9.00	1.00	3.00	0.00	1.00	1.00	62.00	44.00	69.00	37.00	46.00	45.00
NALCN	NM_052867	0.00	0.00	1.00	0.00	0.00	0.00	6.00	7.00	4.00	4.00	5.00	2.00
NALCN-AS1	NR_047687	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
NAMA	NR_102270,NR_102271	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
NAMPT	NM_005746	195.00	220.00	240.00	346.00	382.00	336.00	2104.00	1911.00	1660.00	2213.00	1921.00	2003.00
NANOG	NM_001297698,NM_024865	103.00	82.00	79.00	778.00	770.00	804.00	1541.00	1418.00	1411.00	1214.00	1124.00	1183.00
NANOGNB	NM_001145465	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
NANOS1	NM_199461	12.00	11.00	12.00	34.00	38.00	42.00	121.00	125.00	124.00	150.00	149.00	144.00
NANOS2	NM_001029861	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	2.00	5.00	1.00
NANOS3	NM_001098622	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.00
