name,group
APOA1BP,Non bivalent
BCAN,Always_up
RRNAD1,Non bivalent
PRCC,Non bivalent
NTRK1,Pr_higher_than_Ni
PEAR1,Always_up
KIRREL,Non bivalent
CD1D,Always_up
IFI16,Non bivalent
CADM3,Non bivalent
DUSP23,Non bivalent
CASQ1,Non bivalent
PEA15,Non bivalent
SUMO1P3,Non bivalent
NCSTN,Non bivalent
NHLH1,Non bivalent
VANGL2,Non bivalent
KLHDC9,Non bivalent
NIT1,Non bivalent
UFC1,Non bivalent
USP21,Non bivalent
PPOX,Non bivalent
NDUFS2,Non bivalent
FCER1G,Non bivalent
TOMM40L,Ni_higher_than_Pr
PCP4L1,Always_up
SDHC,Non bivalent
HSPA6,Always_up
FCGR2B,Non bivalent
DUSP12,Non bivalent
ATF6,Non bivalent
NOS1AP,Always_up
C1orf226,Non bivalent
UHMK1,Non bivalent
UAP1,Non bivalent
DDR2,Always_up
HSD17B7,Non bivalent
RGS4,Non bivalent
NUF2,Non bivalent
PBX1,Non bivalent
MGST3,Non bivalent
UCK2,Non bivalent
POGK,Non bivalent
MAEL,Non bivalent
DUSP27,Non bivalent
POU2F1,Non bivalent
RCSD1,Always_up
MPZL1,Non bivalent
DCAF6,Non bivalent
TIPRL,Non bivalent
SFT2D2,Non bivalent
TBX19,Non bivalent
XCL1,Non bivalent
ATP1B1,Non bivalent
BLZF1,Non bivalent
C1orf112,Non bivalent
GORAB,Non bivalent
PRRX1,Ni_higher_than_Pr
FMO1,Non bivalent
FMO4,Non bivalent
TOP1P1,Non bivalent
PRRC2C,Ni_higher_than_Pr
METTL13,Non bivalent
DNM3,Always_up
C1orf105,Non bivalent
SUCO,Non bivalent
PRDX6,Non bivalent
KLHL20,Non bivalent
DARS2,Non bivalent
ZBTB37,Non bivalent
RABGAP1L,Non bivalent
CACYBP,Non bivalent
BRINP2,Always_up
RASAL2,Non bivalent
RALGPS2,Non bivalent
FAM20B,Non bivalent
TOR3A,Non bivalent
SOAT1,Non bivalent
TDRD5,Ni_higher_than_Pr
FAM163A,Pr_higher_than_Ni
TOR1AIP1,Non bivalent
CEP350,Non bivalent
QSOX1,Non bivalent
FLJ23867,Non bivalent
XPR1,Ni_higher_than_Pr
KIAA1614,Ni_higher_than_Pr
IER5,Always_up
NPL,Always_up
DHX9,Non bivalent
LAMC1,Non bivalent
LAMC2,Non bivalent
