gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
ABHD17A	ABHD17A	5156	2059.001	5855	1220	1250	1643	1616	1477	1972	1429	2595	4892.999	3283	1444
ABHD17B	ABHD17B	609	299	259	347	212	367	397	321	263	309	762	575	447	494
ABHD17C	ABHD17C	209	51	69	37	55	91	46	179	56	69	49	66	34	80
ABHD2	ABHD2	857	335	590	197	240	467	159	497	199	322	318	965	294	341
ABHD3	ABHD3	224	100	392	70	31	99	138	224	196	114	281	295	319	98
ABHD4	ABHD4	279	70	116	27	49	75	97	85	45	57	74	246	47	61
ABHD5	ABHD5	254	153	257	188	107	336	84	231	168	165	185	300	155	121
ABHD6	ABHD6	66	17	69	6	0	26	5	39	26	2	35	53	10	12
ABHD8	ABHD8	184	149	222	28	59	133	97	88	99	55	111	106	129	59
ABI1	ABI1	1446	1147	1461	1203	955	2070	1470	1748	1325	1409.999	1635.001	1483.709	1712.001	1520
ABI2	ABI2	407.001	198	262	135	88	194	170	166	224	303	344.001	315.001	354	137
ABI3	ABI3	412	76.001	265	68	38	70	58	92	71	34	68	449.247	149	129
ABI3BP	ABI3BP	6	5	0	0	0	15	0	9	8	0	4	1	0	0
ABL1	ABL1	627	552	511	480	331	675	527	943	771	523	634	722	724	1195
ABL2	ABL2	316	235	296	193	157	239	122	332	240	247	413	342	415	332.999
ABLIM1	ABLIM1	1587	1599	1488.001	559	838	1037	731	985.001	1511	1225.001	2898.001	1499	2349	1479.999
ABLIM2	ABLIM2	5	0	25	22	0	8	14	5	25	7	38	13	13	5
ABLIM3	ABLIM3	1379	222	214	104	318	46	58	75	59	30	60	719	13	119
ABO	ABO	0	0	0	0	0	2	0	0	0	9	0	12	0	0
ABR	ABR	1357	568	961	250	199	644	431	913	602	455.001	958	1396	990	563
ABRA	ABRA	0	0	0	0	0	0	0	5	0	0	0	0	5	0
ABRACL	ABRACL	812	385	832	310	136	377	233	310	255	455	412	674	332	171
ABT1	ABT1	945	798	642	796	683	1152	860	790	869	813	1471	751	731	1050
ABTB1	ABTB1	1873.999	567	1719.999	349	606.999	468	642	656.001	714	491	1250.999	1862.001	1033	401
ABTB2	ABTB2	52	54	17	13	67	45	122	70	28	55	33	53	9	113
AC000099.1	AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000124.1	AC000124.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002116.7	AC002116.7	2	0	7	0	0	0	0	4	0	0	2	1	0	9
AC002398.5	AC002398.5	2	0	0	0	0	0	0	0	0	0	0	2	0	0
AC002454.1	AC002454.1	2	0	6	0	0	0	0	0	0	0	0	5	0	0
AC002463.3	AC002463.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002480.3	AC002480.3	0	0	12	0	0	0	0	0	0	0	6	3	13	0
AC002511.1	AC002511.1	0	0	0	0	0	5	0	0	0	0	0	0	8	0
AC003051.1	AC003051.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003102.3	AC003102.3	6	9	8	0	0	1	0	11	2	0	6	2	6	13
AC003665.1	AC003665.1	0	0	3	0	0	6	4	2	0	0	4	3	0	0
AC003958.2	AC003958.2	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC003984.1	AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.13	AC004019.13	0	0	0	0	0	0	0	0	0	2	0	1	4	0
AC004053.1	AC004053.1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC004603.4	AC004603.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004862.6	AC004862.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004893.11	AC004893.11	44	25	23.184	5	45	16.028	31	15	10	12	30	50.045	27	42
AC005022.1	AC005022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005029.1	AC005029.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005062.2	AC005062.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005235.1	AC005235.1	4	0	3	0	0	1	0	0	0	0	0	2	0	0
AC005264.2	AC005264.2	5.09	4	3.089	0	0	0	0	7	0	4	0	5	0	4
AC005358.3	AC005358.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005550.4	AC005550.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005592.2	AC005592.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005594.3	AC005594.3	16.291	13.95	17.669	31	0	24.63	16.018	17.185	37	5.99	10.197	30.716	46.377	19.825
AC006004.1	AC006004.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006145.4	AC006145.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006196.1	AC006196.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006262.5	AC006262.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006272.1	AC006272.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006372.4	AC006372.4	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC007038.7	AC007038.7	4	10	6	0	0	0	16	0	0	0	7	3	9	1
AC007040.7	AC007040.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007099.1	AC007099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007131.1	AC007131.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007163.3	AC007163.3	4	0	7	0	12	0	2	6	8	3	0	8	1	0
AC007163.6	AC007163.6	0	0	0	0	0	4	0	0	0	0	2	0	0	0
AC007246.3	AC007246.3	13	7	9	27	3	19	7	19	13	14	2	12	16	10
AC007359.6	AC007359.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007365.1	AC007365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007386.2	AC007386.2	2	11	4	0	0	5	0	4	14	0	8	6	11	1
AC007392.3	AC007392.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007392.4	AC007392.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007403.2	AC007403.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007405.4	AC007405.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007461.2	AC007461.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007463.2	AC007463.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007551.3	AC007551.3	27	0	23	0	0	4	19	1	0	0	17	24	15	0
AC007682.1	AC007682.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC007740.1	AC007740.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007743.1	AC007743.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC007750.5	AC007750.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007773.2	AC007773.2	1	10	0	0	0	0	0	0	0	0	1	3	0	0
AC007879.2	AC007879.2	1	0	0	0	0	0	0	0	0	0	0	2	0	0
AC007880.1	AC007880.1	1	0	12	0	0	0	4	0	0	0	6	4	0	0
AC007966.1	AC007966.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008697.1	AC008697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008703.1	AC008703.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009120.4	AC009120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009227.2	AC009227.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009264.1	AC009264.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009299.3	AC009299.3	26	28	64	63	70	69	11	17	26	20	108	28	43	63
AC009473.1	AC009473.1	2	0	0	0	0	1	7	0	4	0	3	2	1	0
AC009501.4	AC009501.4	2	0	13	0	0	3	3	0	4	0	5	12	14	0
AC009518.4	AC009518.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009948.5	AC009948.5	29	37	65	33	21	26	20	32	53	23	75	55	61	12
AC010091.1	AC010091.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010127.3	AC010127.3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010226.4	AC010226.4	5	16	9.67	0	0	8	21	8	5	10.757	23	4.188	8	7
AC010524.2	AC010524.2	0	0	0	16	0	0	15	0	0	0	2	0	0	3
AC010731.4	AC010731.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010890.1	AC010890.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010975.1	AC010975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010987.6	AC010987.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011298.2	AC011298.2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AC011343.1	AC011343.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011518.1	AC011518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011609.3	AC011609.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.2	AC011718.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011738.4	AC011738.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011747.4	AC011747.4	2	0	0	0	0	0	0	0	0	0	0	9	0	0
AC011747.7	AC011747.7	26	10	24	13	0	14	5	2	0	2	11	30	14	2
AC011899.9	AC011899.9	155	24	14	9	0	12	0	44	0	34	19	81	8	11
AC012075.2	AC012075.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012309.5	AC012309.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012314.8	AC012314.8	6	2	9	3	12	13	7	43	55	0	26	10.046	15.005	45
AC012494.1	AC012494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC012507.3	AC012507.3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC015922.6	AC015922.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
