gene_id	transcript_id(s)	H9_naive_EZH2i_R1	H9_naive_none_R1
SLC23A2	NM_005116,NM_203327	138.00	474.00
SLC23A3	NM_001144889,NM_001144890,NM_144712	0.00	0.00
SLC24A1	NM_001254740,NM_001301031,NM_001301032,NM_001301033,NM_004727	19.00	34.00
SLC24A2	NM_001193288,NM_020344	0.00	1.00
SLC24A3	NM_020689	7.00	0.00
SLC24A4	NM_153646,NM_153647,NM_153648	0.00	0.00
SLC24A5	NM_205850	0.00	0.00
SLC25A1	NM_001256534,NM_001287387,NM_005984,NR_046298	205.00	281.00
SLC25A10	NM_001270888,NM_001270953,NM_012140	62.00	46.00
SLC25A11	NM_001165417,NM_001165418,NM_003562	182.00	303.00
SLC25A12	NM_003705,NR_047549	23.00	79.00
SLC25A13	NM_001160210,NM_014251,NR_027662	215.00	290.00
SLC25A14	NM_001282195,NM_001282196,NM_001282197,NM_001282198,NR_104107	9.00	12.00
SLC25A15	NM_014252	48.00	47.00
SLC25A16	NM_152707	103.00	485.00
SLC25A17	NM_001282726,NM_001282727,NM_006358,NR_104235,NR_104236,NR_104237,NR_104238	49.00	91.00
SLC25A18	NM_001303484,NM_031481	5.00	5.00
SLC25A19	NM_001126121,NM_001126122,NM_021734	21.00	63.00
SLC25A2	NM_031947	0.00	0.00
SLC25A20	NM_000387	19.00	31.00
SLC25A21	NM_001171170,NM_030631	0.00	0.00
SLC25A21-AS1	NR_033240	1.00	0.00
SLC25A22	NM_001191060,NM_001191061,NM_024698	176.00	261.00
SLC25A23	NM_024103	233.00	400.00
SLC25A24	NM_013386,NM_213651	62.00	34.00
SLC25A25	NM_001006641,NM_001006642,NM_001265614,NM_052901,NR_049766	40.00	46.00
SLC25A25-AS1	NR_033374	15.00	25.00
SLC25A26	NM_001164796,NM_173471,NR_028475	28.00	35.00
SLC25A27	NM_001204051,NM_001204052,NM_004277	2.00	0.00
SLC25A28	NM_031212	43.00	96.00
SLC25A29	NM_001039355,NM_001291813,NM_001291814,NM_152333	183.00	733.00
SLC25A3	NM_002635,NM_005888,NM_213611	1121.00	1684.00
SLC25A30	NM_001010875,NM_001286806,NM_001286807	12.00	31.00
SLC25A30-AS1	NR_047031	0.00	0.00
SLC25A31	NM_031291	0.00	0.00
SLC25A32	NM_030780,NR_102337,NR_102338	41.00	76.00
SLC25A33	NM_032315	80.00	176.00
SLC25A34	NM_207348	7.00	6.00
SLC25A35	NM_201520	3.00	11.00
SLC25A36	NM_001104647,NM_018155	87.00	180.00
SLC25A37	NM_016612	25.00	23.00
SLC25A38	NM_017875	69.00	178.00
SLC25A39	NM_001143780,NM_016016	623.00	1287.00
SLC25A3P1	NR_002314	0.00	0.00
SLC25A4	NM_001151	66.00	176.00
SLC25A40	NM_018843	16.00	17.00
SLC25A41	NM_173637	0.00	0.00
SLC25A42	NM_178526	11.00	28.00
SLC25A43	NM_145305	49.00	37.00
SLC25A44	NM_001286184,NM_014655,NR_104408,NR_104411,NR_104412	441.00	848.00
SLC25A45	NM_001077241,NM_001278250,NM_001278251,NM_001300820,NM_182556	0.00	0.00
SLC25A46	NM_001303249,NM_001303250,NM_138773	85.00	81.00
SLC25A47	NM_207117	0.00	2.00
SLC25A48	NM_145282	0.00	2.00
SLC25A5	NM_001152	1378.00	2839.00
SLC25A5-AS1	NR_028443	2.00	1.00
SLC25A51	NM_033412,NR_024872,NR_024873	14.00	42.00
SLC25A51P1	NR_026540	0.00	0.00
SLC25A52	NM_001034172	0.00	0.00
SLC25A53	NM_001012755	1.00	0.00
SLC25A6	NM_001636,NM_001636_1	2308.00	3005.00
SLC26A1	NM_022042,NM_134425,NM_213613	0.00	0.00
SLC26A10	NM_133489	1.00	1.00
SLC26A11	NM_001166347,NM_001166348,NM_001166349,NM_173626	39.00	51.00
SLC26A2	NM_000112	22.00	17.00
SLC26A3	NM_000111	0.00	0.00
SLC26A4	NM_000441	1.00	0.00
SLC26A4-AS1	NR_028137	6.00	0.00
SLC26A5	NM_001167962,NM_198999,NM_206883,NM_206884,NM_206885,NR_120441,NR_120442,NR_120443	0.00	0.00
SLC26A6	NM_001040454,NM_001281732,NM_001281733,NM_022911,NM_134263,NM_134426	52.00	148.00
SLC26A7	NM_001282356,NM_001282357,NM_052832,NM_134266	5.00	0.00
SLC26A8	NM_001193476,NM_052961,NM_138718	1.00	0.00
SLC26A9	NM_052934,NM_134325	0.00	0.00
SLC27A1	NM_198580	20.00	16.00
SLC27A2	NM_001159629,NM_003645	8.00	1.00
SLC27A3	NM_024330_1	25.00	62.00
SLC27A4	NM_005094	207.00	573.00
SLC27A5	NM_012254	1.00	11.00
SLC27A6	NM_001017372,NM_014031	2.00	1.00
SLC28A1	NM_001287761,NM_001287762,NM_004213,NM_201651	0.00	1.00
SLC28A2	NM_004212	3.00	0.00
SLC28A3	NM_001199633,NM_022127,NR_037638	6.00	5.00
SLC29A1	NM_001078175,NM_001078177,NM_001304462,NM_001304463,NM_001304465,NM_001304466	320.00	640.00
SLC29A2	NM_001300868,NM_001300869,NM_001532,NR_125343	55.00	163.00
SLC29A3	NM_001174098,NM_018344,NR_033413,NR_033414	37.00	27.00
SLC29A4	NM_001040661,NM_001300847,NM_153247	20.00	22.00
SLC2A1	NM_006516	2124.00	940.00
SLC2A1-AS1	NR_033967	1.00	1.00
SLC2A10	NM_030777	32.00	9.00
SLC2A11	NM_001024938,NM_001024939_1,NM_001282864,NM_030807,NR_104247,NR_104248_1	6.00	8.00
SLC2A12	NM_145176	0.00	0.00
SLC2A13	NM_052885	18.00	26.00
SLC2A14	NM_001286233,NM_001286234,NM_001286235,NM_001286236,NM_001286237,NM_153449	20.54	32.82
SLC2A2	NM_000340,NM_001278658,NM_001278659	0.00	0.00
SLC2A3	NM_006931	1097.46	606.18
SLC2A4	NM_001042	5.00	9.00
SLC2A4RG	NM_020062	102.00	69.00
SLC2A5	NM_001135585,NM_003039	5.00	24.00
SLC2A6	NM_001145099,NM_017585	21.00	13.00
SLC2A7	NM_207420	0.00	0.00
SLC2A8	NM_001271711,NM_001271712,NM_014580,NR_073416	158.00	67.00
SLC2A9	NM_001001290,NM_020041	0.00	0.00
SLC30A1	NM_021194	34.00	70.00
SLC30A10	NM_018713,NR_046437	0.00	0.00
SLC30A2	NM_001004434,NM_032513	59.00	162.00
SLC30A3	NM_003459	3.00	0.00
SLC30A4	NM_013309	1.00	0.00
SLC30A5	NM_001251969,NM_022902,NM_024055	166.00	278.00
SLC30A6	NM_001193513,NM_001193514,NM_001193515,NM_017964	85.00	181.00
SLC30A7	NM_001144884,NM_133496	53.00	70.00
SLC30A8	NM_001172811,NM_001172813,NM_001172814,NM_001172815,NM_173851	1.00	0.00
SLC30A9	NM_006345	104.00	130.00
SLC31A1	NM_001859	183.00	240.00
SLC31A2	NM_001860	17.00	14.00
SLC32A1	NM_080552	2.00	1.00
SLC33A1	NM_001190992,NM_004733	103.00	137.00
SLC34A1	NM_001167579,NM_003052	0.00	0.00
SLC34A2	NM_001177998,NM_001177999,NM_006424	98.00	53.00
SLC34A3	NM_001177316,NM_001177317,NM_080877	0.00	0.00
SLC35A1	NM_001168398,NM_006416	21.00	27.00
SLC35A2	NM_001032289,NM_001042498,NM_001282647,NM_001282648,NM_001282649,NM_001282650,NM_001282651,NM_005660	142.00	223.00
SLC35A3	NM_001271684,NM_001271685,NM_012243	54.00	70.00
SLC35A4	NM_080670	365.00	477.00
SLC35A5	NM_017945	77.00	229.00
SLC35B1	NM_001278784,NM_005827	143.00	168.00
SLC35B2	NM_001286509,NM_001286510,NM_001286511,NM_001286512,NM_001286513,NM_001286517,NM_001286519,NM_001286520,NM_178148	130.00	121.00
SLC35B3	NM_001142541,NM_015948,NR_109913,NR_109914	38.00	45.00
SLC35B4	NM_032826	106.00	146.00
SLC35C1	NM_001145265,NM_001145266,NM_018389	163.00	84.00
SLC35C2	NM_001281457,NM_001281458,NM_001281459,NM_001281460,NM_015945,NM_173073,NM_173179	90.00	103.00
SLC35D1	NM_015139	42.00	40.00
SLC35D2	NM_001286990,NM_007001,NR_104627	75.00	62.00
SLC35D3	NM_001008783	2.00	0.00
SLC35E1	NM_024881	179.00	206.00
SLC35E2	NM_001199787,NM_182838	19.34	21.49
SLC35E2B	NM_001110781,NM_001290264	170.66	178.51
SLC35E3	NM_018656	41.00	41.00
SLC35E4	NM_001001479	16.00	12.00
SLC35F1	NM_001029858	7.00	9.00
SLC35F2	NM_017515	143.00	212.00
SLC35F3	NM_001300845,NM_173508	0.00	1.00
SLC35F4	NM_001206920,NM_001306087	0.00	0.00
SLC35F5	NM_025181,NR_104470	75.00	68.00
SLC35F6	NM_017877	231.00	543.00
SLC35G1	NM_001134658,NM_153226	8.00	12.00
SLC35G2	NM_001097599,NM_001097600,NM_025246	2.00	2.00
SLC35G3	NM_152462	0.00	0.00
SLC35G4	NM_001282300	0.00	0.00
SLC35G5	NM_054028	0.00	1.00
SLC35G6	NM_001102614	0.00	0.00
SLC36A1	NM_001308150,NM_001308151,NM_078483	132.00	84.00
SLC36A2	NM_181776	0.00	0.00
SLC36A3	NM_001145017,NM_181774	0.00	0.00
SLC36A4	NM_001286139,NM_152313	31.00	14.00
SLC37A1	NM_018964	56.00	31.00
SLC37A2	NM_001145290,NM_198277	5.00	0.00
SLC37A3	NM_001287498,NM_032295,NM_207113	163.00	265.00
SLC37A4	NM_001164277,NM_001164278,NM_001164279,NM_001164280,NM_001467	129.00	340.00
SLC38A1	NM_001077484,NM_001278387,NM_001278388,NM_001278389,NM_001278390,NM_030674	644.00	254.00
SLC38A10	NM_001037984,NM_138570	324.00	202.00
SLC38A11	NM_001199148,NM_173512	0.00	0.00
SLC38A2	NM_001307936,NM_018976	209.00	278.00
SLC38A3	NM_006841	14.00	2.00
SLC38A4	NM_001143824,NM_018018	8.00	0.00
SLC38A5	NM_033518	2.00	2.00
SLC38A6	NM_001172702,NM_153811,NR_033344	10.00	6.00
SLC38A7	NM_001308384,NM_018231	117.00	201.00
SLC38A8	NM_001080442	2.00	0.00
SLC38A9	NM_001258286,NM_001258287,NM_001282429,NM_173514,NR_047649	61.00	106.00
SLC39A1	NM_001271957,NM_001271958,NM_001271959,NM_001271960,NM_001271961,NM_014437	560.00	807.00
SLC39A10	NM_001127257,NM_020342	34.00	293.00
SLC39A11	NM_001159770,NM_139177	43.00	44.00
SLC39A12	NM_001145195,NM_001282733,NM_001282734,NM_152725	0.00	0.00
SLC39A12-AS1	NR_038419	0.00	0.00
SLC39A13	NM_001128225,NM_152264	60.00	52.00
SLC39A14	NM_001128431,NM_001135153,NM_001135154,NM_015359	301.00	494.00
SLC39A2	NM_001256588,NM_014579	74.00	16.00
SLC39A3	NM_144564,NM_213568	75.00	182.00
SLC39A4	NM_001280557,NM_017767,NM_130849	88.00	153.00
SLC39A5	NM_001135195,NM_173596	0.00	0.00
SLC39A6	NM_001099406,NM_012319	98.00	47.00
SLC39A7	NM_001077516_3,NM_001288777,NM_006979	353.00	366.00
SLC39A8	NM_001135146,NM_001135147,NM_001135148,NM_022154	57.00	85.00
SLC39A9	NM_001252148,NM_001252150,NM_001252151,NM_001252152,NM_018375	151.00	107.00
SLC3A1	NM_000341	0.00	0.00
