gene_id	gene_name	SRR31535847	SRR31535848	SRR31535849	SRR31535850	SRR31535851	SRR31535852	SRR31535853	SRR31535854	SRR31535855	SRR31535856	SRR31535857	SRR31535858	SRR31535859	SRR31535860
AC005594.3	AC005594.3	0.347276	0.316896	0.302287	0.853539	0	0.476731	0.380429	0.475934	1.163668	0.13501	0.182634	0.85643	1.279666	0.515215
AC006004.1	AC006004.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006145.4	AC006145.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006196.1	AC006196.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006262.5	AC006262.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006272.1	AC006272.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006372.4	AC006372.4	0	0	0	0	0	0	0	0	0	0	0	0.020704	0	0
AC007038.7	AC007038.7	0.189731	0.502215	0.226249	0	0	0	0.8346	0	0	0	0.278097	0.182639	0.550327	0.057324
AC007040.7	AC007040.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007099.1	AC007099.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007131.1	AC007131.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007163.3	AC007163.3	0.134845	0	0.188534	0	0.485321	0	0.074654	0.261699	0.395798	0.106595	0	0.349584	0.043551	0
AC007163.6	AC007163.6	0	0	0	0	0	0.358758	0	0	0	0	0.168971	0	0	0
AC007246.3	AC007246.3	0.346185	0.198377	0.191974	0.927633	0.095953	0.458561	0.207132	0.656158	0.509591	0.393665	0.044719	0.416355	0.551043	0.324065
AC007359.6	AC007359.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007365.1	AC007365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007386.2	AC007386.2	0.043289	0.25369	0.069476	0	0	0.098254	0	0.112465	0.447006	0	0.145479	0.169823	0.308162	0.026384
AC007392.3	AC007392.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007392.4	AC007392.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007403.2	AC007403.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007405.4	AC007405.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007461.2	AC007461.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007463.2	AC007463.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007551.3	AC007551.3	0.453178	0	0.310333	0	0	0.061056	0.356116	0.021838	0	0	0.239865	0.528634	0.326107	0
AC007682.1	AC007682.1	0	0	0	0	0	0.014773	0	0	0	0	0	0	0	0
AC007740.1	AC007740.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007743.1	AC007743.1	0	0.046029	0	0	0	0	0	0	0	0	0	0	0	0
AC007750.5	AC007750.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007773.2	AC007773.2	0.090091	0.944025	0	0	0	0	0	0	0	0	0.075074	0.336618	0	0
AC007879.2	AC007879.2	0.19266	0	0	0	0	0	0	0	0	0	0	0.448184	0	0
AC007880.1	AC007880.1	0.035069	0	0.336055	0	0	0	0.155217	0	0	0	0.176498	0.181654	0	0
AC007966.1	AC007966.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008697.1	AC008697.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008703.1	AC008703.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009120.4	AC009120.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009227.2	AC009227.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009264.1	AC009264.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009299.3	AC009299.3	0.738904	0.846465	1.45595	2.358606	2.439974	1.776123	0.354438	0.626175	1.110016	0.599898	2.576592	1.057311	1.61396	2.177523
AC009473.1	AC009473.1	0.135147	0	0	0	0	0.060387	0.515037	0	0.391069	0	0.169385	0.170992	0.086841	0
AC009501.4	AC009501.4	0.072412	0	0.375706	0	0	0.098117	0.120118	0	0.212319	0	0.151829	0.562166	0.654583	0
AC009518.4	AC009518.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009948.5	AC009948.5	1.302256	1.919707	2.027171	1.874893	1.394086	0.893466	1.130243	2.079406	3.323672	1.061651	2.718613	2.795287	3.44066	0.635095
AC010091.1	AC010091.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC010127.3	AC010127.3	0.029437	0	0	0	0	0	0	0	0	0	0	0	0	0
